Contents,Class
Imam's who disagree with Jihad are attacked by Muslims.  So where are these moderate Muslims?  #Islam http://t.co/hkh5tyEIej,racism
@alikoeln He is following the example of his prophet who married one of his wives at 6. They do everything their prophet does exactly. #Isam,racism
"Following the example of the pedophile prophet Mohammed in every detail, one ISIS militant is marrying a 7 year old child in Mosul. #Islam",racism
RT @PeterTownsend7: #ISIS #Islam PC Puzzle: Converting to a religion of peace leading to violence? http://t.co/TBJUsaeMUH http://t.co/G4xOh?,racism
"@MrAlMubarak Yes, they tried to murder their way to heaven.  A total idiot would believe in such an Allah.",racism
"@ummayman90 @wood_brwood333 For example, in Medina Mohammed said, kindly cut off the heads of these 600 Jewish men and enslave their women.",racism
@TII99 That is a total lie.  Minorities in Muslim lands have been exterminated for 1400 years.,racism
@suranie Exactly.  Merkel is defending this.  And the protesters are called Islamophobes for being against it. http://t.co/08ZwRcTo88,racism
@MoAnsar @arennie44 Of course it is #Islam.  The Quran approves of both slavery and the rape of female slaves. http://t.co/axovjYZ8z0,racism
@ummayman90 Richard was king he could do what he pleased. None of your garbage has any bearing on Mohammed being a pedophile. #Islam,racism
@ummayman90 And you can't use the culture excuse because Mohammed claimed to be guided by Allah and that he was creating a culture. #Islam,racism
"@MoAnsar @arennie44 Furthermore, Islam demands that women be locked in their homes and covered. Stop lying. http://t.co/iVd1vihPFa",racism
@ummayman90 What do customs and rules and history have to do with it.  Marrying a 6 year old and screwing a 9 year old is sick like Islam.,racism
"@ummayman90 #Islam tarnishes itself.  I just point out the truth of what is there, and you try to rationalize it because you are ashamed.",racism
"@ummayman90 If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",racism
@ummayman90 And the truth is that more Muslims are walking away from Islam than people are converting to it.  Education will now kill #Islam,racism
@ummayman90 The people who disagreed with #Islam at the time of the pedophile prophet were murdered by him.  It's in the Hadiths.,racism
@ummayman90 Who knows if they criticized him?  He killed them.  And the things against him would never make it into the Sunnah.,racism
"@ummayman90 When people leave Islam, they don't announce it.  They just quietly walk away.",racism
"@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam",racism
"@ummayman90 And Muslims are expected to fear god as well.  If living in fear is your idea of perfect, you are stupid.",racism
"@ummayman90 It's not about who was not murdered by him, it's about who was.",racism
"@ummayman90 Because they breed like rats, kill non Muslims, and force religion on people by the sword.",racism
"@ummayman90 Yes, might, power, and imperialism is what it is all about.  There is zero spirituality in it.  Soon the world will understand.",racism
"@ummayman90 No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. #Islam",racism
@ummayman90 As a percentage there are very few. And they are usually poor women who marry a Muslim man. There is nothing persuasive in Islam,racism
@ummayman90 Only an idiot would think that god wants to be feared. Muslims cannot think beyond the characteristics of an earthly tyrant.,racism
"@ummayman90 Again, your entire concept of god corresponds to a tyrannical earthly egomaniac because you are simple and stupid. #Islam",racism
"@ummayman90 Again, you miss the point that god is not interested in military rule, phony frauds like Mohammed who benefit from it are #Islam",racism
@ummayman90 Exactly.  #Isam is a cult of death centered around the idea of going to a heaven that is described to be a giant whore house.,racism
@ummayman90 Keep repeating and believing your brain dead fairy tales - and follow your prophets medical advice. http://t.co/2Zo1lQg88V,racism
@ummayman90 #Islam is about forcing people to be Muslims.  Even your perverted Imams know it. http://t.co/e8m3w6ODvQ,racism
@hananehs @haaretzcom As they see more and more of the vileness of Islam in action they will change their minds. http://t.co/nPOd1nWqZe,racism
@Religiolizer The problem is that the cathedral doesn't understand that he prophet Mohammed declared war on all humanity 1400 years ago.,racism
@ilhaam673 @B1236M Here is how #Islam inscribes the inferiority and abuse of women. http://t.co/wXassJMkTd,racism
"@klassydaisy ISIS follows what is in the Quran and the Hadiths and Sharia exactly, to the letter. #Islam",racism
"@LLiraqi Exactly.  Read the Quran and the Hadiths and find out for yourself how hateful, bigoted, sexist, vile and inhuman #Islam is.",racism
@Nigzzzk There is no personal relationship with creator in Islam. Everything comes through a phony prophet and the only relationship is fear,racism
@klassydaisy You are lying.  What does ISIS do that the prophet Mohammed did not do?  There are over 100 Islamic terrorist groups. #Islam,racism
@Nigzzzk The command to fear Allah is all through the Quran.  The ritual of groveling on the ground is one of fear. No personal relationship,racism
@Nigzzzk Do you grovel on the ground and fear other people that you have a personal relationship with?,racism
"RT @Wet_Napkin: Bigotry towards non- Muslim populations, along with religious cleansing, is as old as Islam itself.",racism
"Muslims claim that there is no racism in #Islam.  But like everything else they claim, it is a lie. http://t.co/PiR6nd159a",racism
"RT @dsyndergaard: Israeli spat upon, beaten by Muslims singing anti-Semitic songs in Berlin http://t.co/ursJ1GdnuK",racism
@pleeezing @warriorsialkot @akberc 1400 years ago the pedophile prophet declared war on all humanity.  So all humanity should hate Islam.,racism
@NiceeNhess All of you Islamists repeat the same brain dead lines that someone else told you to say. I've seen that one a thousand times.,racism
@_Elreda I guess your idea of a Muslim joke looks like this. #Islam http://t.co/2WVivYIkk5,racism
RT @Benfrancisallen: It hasn't been a good few weeks for #ISIS. A new front has opened up in #Sinjar and they're about to lose the battle f?,racism
RT @Benfrancisallen: It hasn't been a good few weeks for #ISIS. A new front has opened up in #Sinjar and they're about to lose the battle f?,racism
"RT @riwired: .@ORehaf Oh No.Do NOT go to ""Islamic Center"" where they beat you down mentally w/double speak &amp; convert you asap! @izrinhariri?",racism
@yousufpoosuf @RKingLive2Dance @izrinhariri The only thing that stopped Muslim slaughter in historical past was military defeat.,racism
@yousufpoosuf @RKingLive2Dance @izrinhariri The reason why I have not been murdered is because I will kill any Muslim why tries.,racism
@yousufpoosuf @RKingLive2Dance @izrinhariri And most Muslims are actually better behaved than their religion leads them to be.,racism
@yousufpoosuf @RKingLive2Dance @izrinhariri But the fact that Islam is a declaration of war means that Islam will always produce terrorists.,racism
"RT @riwired: There is no ""moderate Islam"" Islam is #Islam. #Sharia is Islam, no difference. @itsomar99 @VileIslam @BasimaFaysal http://t.co?",racism
"RT @riwired: And every Muslim is a ""slave of Allah"" the more religious or ""Islamic"" the more damage and danger there is.@VileIslam  @ORehaf?",racism
@riwired @_Elreda I like that picture of Israel in the context of the Muslim world.  A tiny spec they blame for all their own evil.,racism
"RT @jemfleming: @riwired @GOP @VileIslam 'When the Muslim population in a region reaches a certain.. point, the agitation begins..' http://?",racism
@HillaryGuess @riwired @izrinhariri Who is justifying Christianity microbrain. I don't have a religion. Why are you hiding Islamic barbarity,racism
"@robert150254 @Ag_nostic @riwired @itsomar99 Mostly Old Testament, were its heroes attacked and slaughter every man, woman, child, animal",racism
"RT @riwired: Look at all the land occupation in green, of ""Islamic domination"". We are being duped. @jemfleming  @GOP @VileIslam http://t.c?",racism
@HillaryGuess @riwired @izrinhariri Because Islam has over 100 operating terrorist groups and a mandate to conquer the world by violence.,racism
"@HillaryGuess @riwired @izrinhariri Again, look at this chart and tell me were you get the ""a few"" idea. http://t.co/QSTtdz57VJ",racism
@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam attacked and conquered 2/3 of Christianity before there were any crusades.,racism
@HillaryGuess @riwired @izrinhariri @AtharHKhan Islam has exterminated all kinds of minorities in the ME Saudi used to be full of minorities,racism
@HillaryGuess @riwired @izrinhariri @AtharHKhan Turkey and Egypt used to be mostly Christian and the Muslims have mostly exterminated them.,racism
@HillaryGuess @riwired @izrinhariri @AtharHKhan Now you see ISIS following the Quran and Hadiths and prophet exactly in their genocide.,racism
@HillaryGuess @riwired @izrinhariri Why are you flapping your lips.  None of this is related to the barbarity of Islam?,racism
"RT @riwired: .@HillaryGuess Most stupid comment. Hitler wasn't religious, that's a Muslim lie. Truth is Hitler admired Muslims @VileIslam @?",racism
RT @riwired: .@HillaryGuess That pleased Hitler. Grand Mufti provided Hitler w/ armies of Muslim soldiers from Europe. #Tszarnev @VileIslam?,racism
@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan It's called execution or conversion at sword point.  You're welcome.,racism
"@yousufpoosuf @RKingLive2Dance @izrinhariri No, the quotes mean exactly what they say. But most people are naturally less hateful than Islam",racism
@yousufpoosuf @RKingLive2Dance @izrinhariri Inciting hatred is central to Islam in order to promote imperialism. http://t.co/kisCI219au,racism
"@yousufpoosuf @RKingLive2Dance @izrinhariri But congratulations, you do get to put an X on the bullshit bing card. http://t.co/EYvQeNntHH",racism
@ilhaam673 Just because I have no religion does't mean that I don't want to stop Islam from murdering. http://t.co/9KTe08yrfk,racism
@ilhaam673 You don't need a perverted religion to feel compassion for humanity. http://t.co/T9Knt5tQmP,racism
@B1236M @riwired @ilhaam673 @BasimaFaysal Look at the size of Israel.  And yet Muslims are slavering to destroy it. http://t.co/v8eV7D61eA,racism
@ibnHlophe @eeviewonders @CTFleaMarkets Jews used to live on 40% of the Arabian Penninsula.  Muslims have virtually exterminated them.,racism
@ibnHlophe @eeviewonders @CTFleaMarkets The Hadith about the Arabian Penninsula is why Muslims will not rest till they destroy Israel.,racism
@ibnHlophe @eeviewonders @CTFleaMarkets That Hadith is specific to AP.  Many others are specific to war on non believers everywhere.,racism
@ibnHlophe @eeviewonders @CTFleaMarkets 120 million Africans murdered by Islam http://t.co/UYbGO0VcG7,racism
"@ibnHlophe @eeviewonders @CTFleaMarkets Yes, it's murder for a fraudulent god.  If every religion used your excuse mankind would be dead.",racism
"@ibnHlophe @eeviewonders @CTFleaMarkets You don't guarantee them protection, you guarantee them third class citizenship and extortion.",racism
@ibnHlophe @eeviewonders @CTFleaMarkets And for people who are not people of the book you guarantee them death or slavery.,racism
@ibnHlophe @eeviewonders @CTFleaMarkets We don't want to teach you. We want to stop your Taquiyya lying about it.,racism
@ibnHlophe @eeviewonders @CTFleaMarkets Thanks for admitting that you are murderers. And check your map. http://t.co/TheArY220E,racism
"@ibnHlophe @eeviewonders @CTFleaMarkets Actually, it's Islam that has to be destroyed for it's crimes against humanity.",racism
@ibnHlophe @eeviewonders @CTFleaMarkets Your prophet started exterminating Jews from the very beginning.  Like the destruction of Khybar.,racism
"@ibnHlophe @eeviewonders @CTFleaMarkets Your text is a fraud brought by a pedophile, slave trader, rapist, murderer, bigot, sexist, robber.",racism
@tariqahmadbt The idiots don't understand that the prophet of Islam declared war on all humanity 1400 years ago. http://t.co/fHElksY54r,racism
@Muhammad1988x The real piss drinkers are the Muslims.  Here is the proof. http://t.co/eD031qpTR9,racism
"@LLiraqi I guess if you call murder, rape, slavery, hatred, bigotry and sexism beautiful, then it is beautiful.",racism
@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Only because there were too many Hindus to exterminate before the British...,racism
@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan ...unseated the Muslims in power.  Now the Muslims are not in power either.,racism
"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Before the British showed up, the Muslims murdered 80 million Hindus.",racism
@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan And today there is still not peace between them because of the Muslims.,racism
@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan The only reason there is peace is because the Hindus are in power.,racism
@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan Next door in Pakistan the Muslims still murder Christians and Hindus regularly,racism
"@yousufpoosuf @HillaryGuess @riwired @izrinhariri @AtharHKhan They claim, ""oh you insulted our religion"" and kill them.",racism
@IftikharAwan Really? What are they doing that your prophet did not also do? http://t.co/FAsAWDISlH,racism
"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",racism
@yousufpoosuf @HillaryGuess Islam has bloody borders everywhere and cannot get along with anyone.,racism
"@RichardDawkins @AbuelitoSerge Really, Muslims understand this.  They just want to be able to use the name ""racism"" to shut us up.",racism
"@RichardDawkins @AbuelitoSerge Same goes for the term ""Islamophobia"". It makes as much sense as ""Naziphobia"".",racism
@P_Valerianus @CTFleaMarkets @ibnHlophe @eeviewonders We could deal with the violent fanatics if the texts of Islam weren't producing more.,racism
@ibnHlophe @eeviewonders @sibanda_tapson @CTFleaMarkets Children grow out of their fairy tales.  Muslims never grow out of theirs.,racism
@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets All of the land the Muslims have they colonialized.,racism
@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets There's a huge lie.  They colonialized everything they have at sword point.,racism
@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets I guess it's time for you to learn about racism in Islam. http://t.co/2fcMyuE3Eu,racism
@Pray_4_Life @Pontifex People who call being against Islam racist know that Islam is not race but want to intimidate others into shutting up,racism
"@hu_4u The prophet Mohammed was a terrorist, and he knew Islam.",racism
@ameerahusman Islam is for liars. http://t.co/5FqRv7WdUu,racism
"RT @OmprakashSewa: Under Love Jihad, Muslims lure young Hindu girls &amp; then force them to convert to Islam. Romeos then go 4 their next prey?",racism
@nura_skippor @ameerahusman Islam is 1000 years of contributing nothing to mankind but murder and hatred.,racism
@CompoundMixture @CruisingBye @SuperiorMenArmy Are you delusional?  Islam is one of the most violent and barbaric. http://t.co/3uh4RhYbs1,racism
"RT @PopeSweetMusic: @rbassilian @ProudPatriot101 @Protoshiv the question is, is there hope for a peacful coexisting islam. No. The answer i?",racism
"RT @ProudPatriot101: @PopeSweetMusic @rbassilian @Protoshiv The Koran preaches murder, rape, paedophillia, slavery. It's a War Manual...",racism
@hu_4u I read the Quran and the Hadiths.  Disgusting and inhuman.,racism
@hu_4u Why would I read lies about what Islam is when I can see what it is in the Quran and Hadiths?,racism
"Muslim terrorists murder 12 people in Paris. 22,000 terrorist attacks since 9/11. It's not an aberration, it's the real #Islam",racism
"@TheKnowledge @NomCookiesNom Muslims are not a race, idiot, they are a cult of murder and terrorism. http://t.co/4wKPDIkzm8",racism
@NomCookiesNom Why is it that no other religions have statistics that are even close in the production of terrorism.,racism
@DiversityRUs Islam is a cult of murder that declared war on all of humanity 1400 years ago. Here is proof. http://t.co/JH80InPaNz,racism
@J_Eddine @DiversityRUs Bad logic.  If all Muslims did what their books of hatred and murder tell them they would all be dead.,racism
@J_Eddine @DiversityRUs 1/3 of all  Muslims believe that people who want to leave the religion should be murdered. http://t.co/mBTflxQk22,racism
@DiversityRUs For the last 1000 years Islam has contributed nothing to mankind but murder. http://t.co/h8a8JKfUDo,racism
Since 1/3 of all #Islam believes that people who leave the religion should be murdered where are the moderate Muslims http://t.co/E3OtqTbo7D,racism
Notice 2/3 Muslims want Sharia and Sharia says that apostates must be killed. But only 1/3 support that directly. http://t.co/2GS6nNTRVj,racism
Notice how the news media avoids pointing out that the murderers of the 12 French are followers of the death cult of #Islam.,racism
@DiversityRUs The US attacks terrorists and dictators.  Your religion opposes freedom and democracy. http://t.co/EQhYQleABG,racism
"@ibnHlophe @sibanda_tapson @CTFleaMarkets Okay, we understand that you and your religion are terrorists.  Don't @ me any more.",racism
"Children in Pakistan, journalists in Paris, shoppers in Australia, Ezidis in Iraq.  It all comes from the death cult of #Islam.",racism
"@RomeroScott Not gunmen, Muslim terrorists.",racism
@AnnaMainwaring1 Your sadness is exactly what the terrorists want.,racism
@ldstarr18 @AC360 Islam is worse than the Nazi party ever was.,racism
@ldstarr18 @AC360 You are a liar trying to shut people up using the term  #racist.  Islam is not a race and you know it. It is a death cult.,racism
@Damhan97 @niall_cullen @AC360 Having more children is what their prophet Mohammed told them to do.  Reproductive imperialism.,racism
@niall_cullen @Damhan97 @AC360 How can they be sound when 1/3 of them think people leaving Islam should be murdered? http://t.co/HQCuP3Qdke,racism
@Damhan97 @niall_cullen @AC360 A small percentage? The majority are radicals. http://t.co/UVNjYoz2rM,racism
@ldstarr18 @AC360 When does freedom of speech not insult someone.  Why should a hate filled religion be excluded? http://t.co/srvMUIMFBC,racism
"@ldstarr18 @AC360 But there are many ideologies, and Islam declared war on the human race 1400 years ago. http://t.co/ntOJwO4Lnt",racism
RT @TIME: 'Charlie Hebdo' editor killed in Paris terror attack built career on defiance http://t.co/zE8yO2E0W1,racism
RT @TIME: 'Charlie Hebdo' editor killed in Paris terror attack built career on defiance http://t.co/zE8yO2E0W1,racism
Will any of the media talking heads ever broach the subject that #Islam is incompatible with free speech and democracy? Are they PC cowards?,racism
RT @TINAHILLSTROM1: Via @nprnews: 12 Dead In Shooting At Satirical Publication's Office In Paris http://t.co/n5HZpux8R5 They have proven Pr?,racism
@StrangerOnFire @Raqqa_Sl It worked out perfectly.  When the Muslims invaded Europe in 8th cent only military defeat stopped them.,racism
@StrangerOnFire @onzelfzuchtig @Raqqa_Sl Pacificim is no solution.  The Hindus tried that and the Muslims slaughter them for 800 years.,racism
"@StrangerOnFire @onzelfzuchtig @Raqqa_Sl Until we fight the war on Islam in earnest, we will never know where it gets us.",racism
RT @sudixitca: You say Islam is a religion. I say it is a cult. Islam's activities match the description of crime mafia. You must bust it. ?,racism
"@unteenable 1/3 of the religion is ready to murder apostates.  There are no ""moderate Muslims"" http://t.co/rHENXNvhbO",racism
"@RiosJose559 No, Islam declared war on all humanity 1400 years ago.",racism
"RT @KV_alumni: In the wake of the #ParisShooting it pisses me off to hear politicians, celebrities &amp; the like,trying to lessen Islam's role?",racism
"RT @funnyordead_: Islam according to ex-muslim: Not me 
This guy: PakistaniGuyDontHugMeMySuicideJacketMigh tGoOff 
And I think t... http://?",racism
@ziallrh @riotboyafi The prophet Mohammed also had people murdered that spoke against him.,racism
@RiosJose559 What you said was incoherent.  But here is the proof that Islam declared war on all humanity. http://t.co/L4QpzH226Y,racism
@anjemchoudary You have no say on what freedom of expression extends to.  Everyone should be insulting the phony pedophile prophet.,racism
@anjemchoudary Nobody cares what his honor means to you fools.  We have no obligation to honor the slave trader and caravan robber.,racism
@anjemchoudary We could care less how much you love the fraud.  We have the right to think of him any way we want and express that.,racism
"@MalickBee Already did.  Found out that Islam is a vile, bigoted, hateful, murdering, sexist, slavery supporting cult.",racism
"@LUVSHINECAFE @bradybaggett When religious war, jihad, is a cornerstone of the religion there is no possibility for reform.",racism
@AnonHeel Political satire always pisses off someone.  Why should the religion of hatred and murder be excluded.,racism
@LUVSHINECAFE @bradybaggett We need to outlaw Islam outright.,racism
@azmoderate @JoeWSJ You are talking bullshit. The information is clear that the majority of Muslims are not moderate. http://t.co/whdlCI8aXZ,racism
"@azmoderate @JoeWSJ Again, you talk like an idiot.  I have no religion and what you say changes nothing about Muslims being extremists.",racism
RT @NYDailyNews: EDITORIAL: Murderous soul of radical Islam has attacked the foundation of Western civilization http://t.co/vbu2idLCCt http?,racism
"@SafeensS The nuns are wearing the chosen robs of the clergy, not what every woman is required to wear by the sexist religion.",racism
"@SafeensS The woman wearing the bikini can wear it or she can cover everything, her choice.  If she makes that choice in Islam she is beaten",racism
@KhaledHamaki That is one of the pieces of lying propaganda that Muslims try to fool westerners with.  Here is story. http://t.co/US4H4dOaEe,racism
RT @Kypsta: France is on the verge of major cultural backlash against even moderate Islam. The tension has built for decades. The line has ?,racism
"@bradybaggett @LUVSHINECAFE Take a poll and see if 1/3 of Christians think gays should be killed.  If they do, Christianity should be banned",racism
"@bradybaggett @LUVSHINECAFE If you like it or not, Islam declared war on all humanity in the Quran 1400 years ago.",racism
"@ohSAMah Like all such writers, they blab on endlessly as experts without ever having read the Quran or Hadiths.",racism
RT @SmokeNMirrors71: @AceofSpadesHQ Same MSM that insists Islam has no connection w/terror censors cartoons cuz they fear being murdered. S?,racism
RT @taslimanasreen: All religions are not the same. Islam is more violent than other religions.,racism
It's unbelievable the way that journalists fall all over themselves to make excuses for the barbarity of Islam. Not one has read the Quran.,racism
@kewldevzzo Islam is full of incitements to murder unbelievers.  What are you talking about?,racism
"@kewldevzzo Yes, according to Islam, Muslims are encouraged to kill you.  I'm not a Muslim and I have no issues with Hindus.",racism
"@kewldevzzo Yes, the Quran tells Muslims to murder people of other religions. http://t.co/EExrTV2BJx",racism
"@AalawOfficial According to your own canon, your prophet is a pedophile, murderer, rapist, caravan robber, slave trader, sexist and bigot.",racism
RT @salmonfarmer1: Twisted Logic in the world of Islam http://t.co/6nALv2HPc3,racism
@deafgirl1 Islam cannot forbid anything.  It is a sick cult with no power under the law.,racism
RT @joej2020usa: Netanyahu: Paris Massacre Shows Radical Islam ?Knows No Border? - Israel News http://t.co/kGGkulkTtp via @binalerts,racism
@ameedjadallah I read the entire Quran.  Islam is what is wrong.,racism
@AAQ270 @izrinhariri @TheKnowledge A. He wasn't a prophet.  B. There has been no peace for 1400 years.,racism
@SevilZadeh What does ISIS do that the prophet Mohammed did not also do?,racism
@KhaledHamaki This is a more complete picture of the bigotry of Islam than your selective lie. http://t.co/raGDag6tmL,racism
"@SevilZadeh Mohammed led 17 major military expeditions.  Most offensive.  He raped, robbed, murdered, lied, slaved, and was a pedophile.",racism
@SevilZadeh Karen Armstrong was interested in writing a hero worship book that would sell with Muslims.  Very narrow picture.,racism
@KhaledHamaki I don't care.  It's none of Mohammed's business what religion someone wants to be.,racism
@IftikharAwan You choose your religion and Islam is clearly barbaric and inhuman. It has zero to do with god.,racism
"@IftikharAwan One must imagine god being insulted by having such a hateful, war mongering, decisive, bigoted, sexist religion calling him.",racism
@IftikharAwan The Muslims relationship to god is fear.  He is told to fear Allah again and again in the Quran.,racism
@IftikharAwan Why does it not occur to you that only an idiot would imagine a god who wants to be feared.,racism
"@kewldevzzo I don't ""follow"" any god. But if one were to imagine Satan inventing a religion, it would be like Islam.",racism
@IftikharAwan Did your prophet behead people like ISIS - yes.  Did he enslave people like ISIS - yes.  Did he murder people like ISIS - yes.,racism
@IftikharAwan Did your prophet rape slaves like ISIS - yes.  Did your prophet tell women to cover up and stay home like ISIS - yes. #Islam,racism
@IftikharAwan Did your prophet murder apostates - yes.  Did your prophet rob caravans and commit genocide - yes.,racism
@IftikharAwan Looks to me like Baghdadi is a carbon copy of Mohammed without the prophecies. #Islam,racism
"@CamilleHughes16 @_Watch_Observe_ The idea about all of these ""moderate"" Muslims is oversold.  Most are extremists. http://t.co/cQJ6cNdGow",racism
@CamilleHughes16 @_Watch_Observe_ Nobody cares.  The law protects women.  Mohammed's phony laws abuse women. #Islam,racism
"@tommydevlin1974 What is ""mainstream"" about him? Forgetting murdered Christians, closed universities, murdered doctors, women locked at home",racism
"@tommydevlin1974 ""Mainstream"" Muslims are also radicals. http://t.co/X5gSyW8PGB",racism
@CamilleHughes16 @_Watch_Observe_ That's like saying that my freedom is limited if I'm not allowed to kill you.,racism
"@CamilleHughes16 @_Watch_Observe_ A Muslim's ""religious freedom"" involves denying others their freedom.  So Islam must be outlawed.",racism
"@CamilleHughes16 @_Watch_Observe_ I don't really care what some Muslims practice.  I care that Islam encourages murder, hatred, sexism.",racism
"@KhaledHamaki Obviously the driving meme of Islam is world domination, if it be by force, intimidation, or persuasion.",racism
@anthfieg1 @CamilleHughes16 @_Watch_Observe_ Can we kill for Don? And does he give us a bunch of virgins in heaven for doing it?,racism
RT @sudixitca: Muhammad was the inventor of thighing. He started molesting Aisha when she was 6 years old. @Shahzadadeindia cc: @TarekFatah,racism
@AngelicPsalms @brassidio Stop threatening people to get them to do what you want.  That's why people hate religion.,racism
@akh_fuaadh @ToAllahWeReturn Manipulative and threatening BS.  Proving that people have to be intimidated into following the god of terror.,racism
"@TheLadyInBlackk @ToAllahWeReturn People fill ""the void and emptiness"" with all kinds of imaginary nonsense, including Allah.",racism
@Censored31 @rupertmurdoch What are you crying about microbrain. Islam declared war on all humanity 1400 years ago.,racism
@depressedfuck1 @CompoundMixture @CruisingBye @SuperiorMenArmy In know more about the religion than you. And it is pure evil.,racism
@Sayfudeeen Why do you complain?  Islam has been ethnic cleansing everybody for 1400 years.  Isn't it time to return the favor?,racism
"@mohamadraimi4 @korderakan Not only dead Daesh, but Baghdadi ran like a coward. Will he behead himself for fleeing like he does his men Gwer",racism
@dawla___account @IronLionHeart Good reason not to practice a religion that declared war on all humanity 1400 years ago.,racism
@depressedfuck1 @CompoundMixture @CruisingBye I read the Quran. It is a hate mongering piece of filth. http://t.co/4j6z8JnH5j,racism
"RT @CruisingBye: @depressedfuck1 @VileIslam 

Your doctrine supports terrorism &amp; violence http://t.co/U3iMwdACc0",racism
"@Abu_Baraa1 @danger_tiny I hope so, because in English it comes off as moronic hate mongering.",racism
@Abu_Baraa1 @Myself_00001 Now if we can only get the world to recognize that Islam declared war on humanity 1400 ago and outlaw it.,racism
@Abu_Baraa1 Why should you be annoyed at being denied rights that you don't give to others. You are a hypocrite.,racism
"@Abu_Baraa1 Dumb Muslims complain about freedom of speech and support blasphemy laws at the same time. What a disgusting, inhuman religion.",racism
